"wl","gt_s","gt","g_s","r_s","g","r"
324,24.6684982279074,-28.3633116637709,24.7434729880369,38.6304850477224,-3.35777116521724,-10.7274476716898
325,24.7753038151061,-28.3782105219661,24.8754455962184,38.7827266089356,-3.33681836628238,-10.7178769147987
326,24.9127858521446,-28.3746503920768,25.0041748928894,38.9143435943999,-3.31687393175961,-10.723858940768
327,25.087132963105,-28.3635816939831,25.1294172866629,39.0458083212085,-3.29965656039194,-10.7467884267369
328,25.2796434019212,-28.342194254589,25.2513333508837,39.170609566028,-3.28339201864542,-10.7789178448564
329,25.4716154225275,-28.3076779007988,25.3700836588968,39.2822361055245,-3.2663060729861,-10.8124996672776
330,25.644347278858,-28.2572224595165,25.4858287840469,39.3741767163645,-3.24662448988001,-10.8397863661513
331,25.7791372248467,-28.1880177576464,25.598729299679,39.4399201752141,-3.22257303579321,-10.8530304136288
332,25.8572835144278,-28.0972536220924,25.7089457791379,39.4729552587399,-3.19237747719173,-10.844484281861
333,25.9032049092983,-28.0169426628183,25.8264550683175,39.5006278138403,-3.18900461140252,-10.8540205799829
